user,login_count,after_hours_login,unique_pc_count,usb_usage_count,web_activity_count,anomaly,anomaly_score
DTAA/AAA0371,0.1636613092904743,0.0932658868163136,0.0160599571734475,0.0,0.337770144554172,1,0.1158167984072403
DTAA/AAC0344,0.133673069384555,0.1090736642428074,0.0,0.0,0.7098420876866561,1,0.13395818973185752
DTAA/AAC0599,0.133673069384555,0.1090736642428074,0.0,0.0,0.711845808883164,1,0.1345415062707352
DTAA/AAH0734,0.133673069384555,0.1090736642428074,0.0,0.0,0.7983874815132865,1,0.10508098986518549
DTAA/AAK0658,0.133673069384555,0.1090736642428074,0.0,0.0,0.701779495253089,1,0.13518439482104733
DTAA/AAK0924,0.133673069384555,0.1090736642428074,0.0,0.0,0.8818281570535756,1,0.07560760998475774
DTAA/AAR0508,0.133673069384555,0.1090736642428074,0.0,0.0,0.8875530747578837,1,0.07344627778409363
DTAA/AAS0709,0.1952175617404939,0.1100221308883971,0.019271948608137,0.0,0.7957158532512761,1,0.022104745335258524
DTAA/ABB0272,0.2326538612308898,0.1144483085678153,0.0770877944325481,0.9660766961651918,0.8255331329612137,-1,-0.12476576895011071
DTAA/ABD0833,0.133673069384555,0.1090736642428074,0.0,0.0,0.7901817661371118,1,0.10899139422799764
DTAA/ABG0179,0.133673069384555,0.0543787543471388,0.0,0.0,0.7911836267353657,1,0.0502274360442273
DTAA/ABH0963,0.133673069384555,0.1090736642428074,0.0,0.0,0.8018224321358713,1,0.10443007267171484
DTAA/ABL0836,0.133673069384555,0.1840025292443882,0.0,0.0,0.9727112256094652,1,0.00023702739972952802
DTAA/ABS0726,0.1528812230497843,0.1337337970281378,0.0107066381156316,0.0914454277286135,0.8619817756786413,-1,-0.013644520433843343
DTAA/ACD0647,0.133673069384555,0.1090736642428074,0.0,0.0,0.9720433185439626,1,0.06116321850087525
DTAA/ACH0803,0.1595452763622108,0.1169775529560543,0.0503211991434689,0.7610619469026548,0.7982920662182148,-1,-0.08168569187805752
DTAA/ACL0865,0.133673069384555,0.1090736642428074,0.0,0.0,0.8824483564715424,1,0.07560760998475774
DTAA/ACM0061,0.133673069384555,0.0553272209927284,0.0,0.0,0.7849816325556986,1,0.05058654054010303
DTAA/ACR0400,0.133673069384555,0.1090736642428074,0.0,0.0,0.8693764610467057,1,0.07918475061970409
DTAA/ADR0219,0.133673069384555,0.1090736642428074,0.0,0.0,0.5997805448213348,1,0.17035081947959824
DTAA/AEC0750,0.133673069384555,0.1090736642428074,0.0,0.0,0.7764419636467725,1,0.11204802738146424
DTAA/AEG0905,0.133673069384555,0.2181473284856149,0.0,0.0,1.0,-1,-0.016558300619173738
DTAA/AEW0730,0.133673069384555,0.1090736642428074,0.0,0.0,0.6647583607652306,1,0.14796705412148942
DTAA/AFD0868,0.133673069384555,0.1312045526398988,0.0,0.0,0.8281093459281523,1,0.06992478693010601
DTAA/AFF0760,0.0344962759702077,0.0233955105912108,0.0010706638115631,0.0088495575221238,0.042459806306951,1,0.016649157594321617
DTAA/AFG0122,0.17796942375539,0.1195067973442934,0.0781584582441113,0.0,0.6026907113210248,1,0.007819399533435134
DTAA/AFH0331,0.1942375539004312,0.1738855516914322,0.012847965738758,0.7669616519174041,0.8953771289537713,-1,-0.09045982334448888
DTAA/AFN0918,0.1967855742845942,0.1100221308883971,0.0182012847965738,0.5973451327433629,0.7204808930871619,-1,-0.030554662422909606
DTAA/AFO0022,0.2122696981575852,0.1315207081884287,0.025695931477516,0.0,0.818663231716044,1,0.0001964715408425688
DTAA/AFR0646,0.133673069384555,0.1090736642428074,0.0,0.6769911504424778,0.818186155240685,-1,-0.03467505488851119
DTAA/AGB0091,0.133673069384555,0.1090736642428074,0.0,0.0,0.6883736462955011,1,0.1403610836230974
DTAA/AGF0088,0.133673069384555,0.1090736642428074,0.0,0.0,0.7069319211869662,1,0.13489327033437726
DTAA/AGG0562,0.133673069384555,0.0521656655074296,0.0,0.0,0.5799341634464005,1,0.10481640927091418
DTAA/AGW0182,0.2383379067032536,0.1283591527031299,0.069593147751606,0.5191740412979351,0.6227279232861027,-1,-0.05558364871468591
